dataset,precision,equation,best_method,best_gflops,direct_gflops,ttgt_gflops
FP64,FP64,1,direct,6569.5578,6569.5578,2564.3373
FP64,FP64,2,direct,6270.5633,6270.5633,5877.7491
FP64,FP64,3,direct,6026.6095,6026.6095,2101.5515
FP64,FP64,4,direct,5526.0221,5526.0221,2158.3716
FP64,FP64,5,direct,6293.6823,6293.6823,3551.1353
FP64,FP64,6,direct,5519.8112,5519.8112,1671.0355
FP64,FP64,7,direct,6275.2058,6275.2058,1984.6957
FP64,FP64,8,direct,5521.9213,5521.9213,1665.9263
FP64,FP64,9,ttgt,7049.9691,6714.1073,7049.9691
FP64,FP64,10,direct,7312.4983,7312.4983,3074.9183
FP64,FP64,11,direct,7357.5578,7357.5578,3420.9768
FP64,FP64,12,ttgt,18540.1548,14876.4697,18540.1548
FP64,FP64,13,ttgt,12956.4103,2105.2715,12956.4103
FP64,FP64,14,ttgt,11913.7903,2283.2266,11913.7903
FP64,FP64,15,direct,13408.1295,13408.1295,11886.4671
FP64,FP64,16,direct,13466.3902,13466.3902,12457.6947
FP64,FP64,17,direct,13035.6971,13035.6971,10067.411
FP64,FP64,18,direct,11588.4508,11588.4508,9912.2851
FP64,FP64,19,ttgt,5408.0364,3974.8369,5408.0364
FP64,FP64,20,ttgt,17466.5348,13515.2837,17466.5348
FP64,FP64,21,ttgt,17489.8424,12671.0541,17489.8424
FP64,FP64,22,ttgt,17241.2951,13017.706,17241.2951
FP64,FP64,23,ttgt,17143.3609,12726.5891,17143.3609
FP64,FP64,24,ttgt,17267.7181,13448.6464,17267.7181
FP64,FP64,25,ttgt,17155.5695,12760.7588,17155.5695
FP64,FP64,26,ttgt,17463.1887,12982.7644,17463.1887
FP64,FP64,27,ttgt,17089.2503,12727.1812,17089.2503
FP64,FP64,28,ttgt,17396.3555,11423.9665,17396.3555
FP64,FP64,29,ttgt,17141.6812,10673.381,17141.6812
FP64,FP64,30,ttgt,17128.5383,11302.4932,17128.5383
FP64,FP64,31,direct,8197.883,8197.883,2413.8985
FP64,FP64,32,direct,7879.9048,7879.9048,2359.296
FP64,FP64,33,direct,7783.3733,7783.3733,2678.8467
FP64,FP64,34,direct,8756.7277,8756.7277,2241.285
FP64,FP64,35,direct,7851.0603,7851.0603,2299.0756
FP64,FP64,36,direct,7767.4851,7767.4851,2554.0694
FP64,FP64,37,direct,9180.6163,9180.6163,2428.042
FP64,FP64,38,direct,7919.5809,7919.5809,2484.9865
FP64,FP64,39,direct,7789.1973,7789.1973,2656.426
FP64,FP64,40,direct,7780.2931,7780.2931,2568.2674
FP64,FP64,41,direct,7913.2061,7913.2061,2296.3159
FP64,FP64,42,direct,8697.1174,8697.1174,2463.6907
FP64,FP64,43,direct,8861.76,8861.76,2562.6509
FP64,FP64,44,direct,7895.5513,7895.5513,2167.1427
FP64,FP64,45,direct,8758.6779,8758.6779,2438.4817
FP64,FP64,46,direct,7768.6785,7768.6785,2665.4495
FP64,FP64,47,direct,7873.7685,7873.7685,2161.8078
FP64,FP64,48,direct,8126.1631,8126.1631,2429.6755
